S.No,Audit Observation by the Auditor (inputs) ,Audit Finding with Impact  should appear (outcome)
1,"•	Subject ID 1023 received 300 mg of IMP instead of the protocol-specified 150 mg on Day 7. 
•	Subject ID 2045 received IMP 6 days later than the protocol-defined ±2-day administration window.","Investigator did not conduct the study as per approved protocol version 3 dated Feb 2022. Significant non-compliance was noted during the audit, including overdosing and IMP administration outside of the protocol-defined window.
Examples: 
•	Subject ID 1023 received 300 mg of IMP instead of the protocol-specified 150 mg on Day 7. 
Overdose of IMP by 2x the approved dose. Considering the cytotoxic nature of the drug, this could cause serious toxicity or be fatal. Failure to adhere to dosing instructions is a critical protocol deviation, potentially affecting subject safety and study integrity. 
•	Subject ID 2045 received IMP 6 days later than the protocol-defined ±2-day administration window. 
Protocol-defined IMP administration window exceeded by 4 days. This delay could compromise drug efficacy and skew study results. Such a delay also has an adverse impact on subject safety and well-being. 

Such non-compliance with the protocol has severe implications on study participants' safety, well-being, and the overall integrity of the study."
2,"Failure to obtain informed consent as per 21 CFR Part 50 before administering IMP and conducting study-related tests.                                •	Subject ID 3012 was dosed without signing the ICF. 
•	Subject ID 3056 signed an outdated version of the ICF (Version 1.0, Jan 2022) instead of the approved Version 2.0, May 2022.","Failure to obtain legally valid informed consent before study participation. Serious deficiencies were observed in the informed consent process, which violate 21 CFR Part 50 requirements. Examples:                                                                                                                        •	Subject ID 3012 was dosed without signing the ICF. 
The subject did not provide documented consent, raising ethical and regulatory violations. Administering IMP without consent compromises the subject's autonomy and breaches GCP principles. 
•	Subject ID 3056 signed an outdated ICF (Version 1.0, Jan 2022) instead of the IRB-approved Version 2.0, May 2022. 
The outdated ICF did not contain updated risk disclosures and new study-related procedures, which could lead to inadequate understanding and potential harm to the subject. 

Non-compliance with informed consent regulations poses serious ethical concerns and could lead to regulatory action, including study suspension."
3,"Delegation of critical study procedures to unqualified staff.                                                           •	Study Coordinator (non-medical staff) performed physical exams and assessed SAE for Subject ID 4017. 
•	Unqualified staff administered IMP for Subject ID 4023.","Study responsibilities were inappropriately delegated to unqualified personnel, violating GCP and protocol requirements. The investigator failed to ensure that study-related duties were assigned to personnel with appropriate medical training. Examples: •	Study Coordinator (non-medical staff) performed physical exams and assessed SAE for Subject ID 4017. 
The lack of medical qualification could lead to misdiagnosis, delayed treatment, or incorrect assessment of adverse events, which may directly impact subject safety. 

•	Unqualified staff administered IMP for Subject ID 4023. 
The staff member lacked proper training in IMP handling and administration, increasing the risk of dosing errors, contamination, or improper storage conditions, which could affect drug efficacy and subject safety. 

Failure to ensure qualified personnel perform critical study tasks jeopardizes subject safety and study validity. This could lead to regulatory non-compliance, potential legal consequences, and loss of data integrity."
4,"Failure to report a Serious Adverse Event (SAE) to the IRB/IEC within the required timeline. 
•	SAE of Grade 3 hepatotoxicity (ALT/AST >5x ULN) for Subject ID 5008 was not reported within 7 calendar days.","Delayed reporting of a Serious Adverse Event (SAE), violating regulatory requirements and ethical obligations. 

•	SAE of Grade 3 hepatotoxicity (ALT/AST >5x ULN) for Subject ID 5008 was not reported within 7 calendar days. 
The delayed SAE reporting hindered timely risk assessment and potential modification of study safety measures. Regulatory bodies require prompt reporting to protect subject welfare. 

•	Delayed SAE reporting could result in regulatory actions, potential study holds, and compromised subject safety."
5,"Failure to maintain adequate records for IMP accountability. 
•	Discrepancy in IMP log: 3 vials dispensed but only 2 vials documented for Subject ID 6012.","IMP accountability records were incomplete or inaccurate, violating regulatory and GCP requirements. 
•	Discrepancy in IMP log: 3 vials dispensed but only 2 vials documented for Subject ID 6012. 
This inconsistency raises concerns about drug misuse, loss, or potential protocol deviations. Proper IMP tracking is essential to ensure accurate dosing, prevent drug diversion, and maintain study integrity. 
Lack of proper IMP accountability can result in regulatory findings, data unreliability, and safety risks to study subjects."
6,"Transfer of obligations to a contract research organization (CRO) was not described in writing.                  
• The sponsor transferred trial responsibilities to a CRO, but no formal documentation outlined the specific obligations assumed. 
• Subject ID 3021’s SAE (serious adverse event) was not reported to the regulatory authorities within the required timeframe due to unclear delegation of responsibilities.","The investigator did not ensure that the transfer of responsibilities was properly documented as required by 21 CFR 312.52(a). Significant non-compliance was noted during the audit, including missing written agreements and undefined obligations.               Examples:                                                                                                                          • The sponsor delegated monitoring responsibilities to CRO X, but no documented agreement was in place defining oversight obligations. 
• Essential duties such as safety reporting and IMP accountability were transferred but lacked documented acceptance by the CRO, creating compliance risks.                                                                                       • Subject ID 4156 was enrolled despite being ineligible, as eligibility review responsibility was unclear between the sponsor and CRO. Such non-compliance may result in regulatory actions, study delays, and potential safety risks due to unclear delegation of responsibilities."
7,"Transfer of obligations to a contract research organization did not describe each of the obligations assumed, where not all obligations were assumed. 
• The agreement between the sponsor and CRO did not specify all transferred responsibilities.
 • Subject ID 5278 experienced an adverse event that was not followed up appropriately due to unclear reporting responsibilities.","The agreement between the sponsor and the CRO failed to outline each responsibility assumed by the CRO, leading to gaps in regulatory compliance. Some critical obligations remained unassigned, increasing the risk of study mismanagement. Examples: • The CRO assumed responsibility for monitoring but not for investigator training, leading to inconsistent protocol adherence. 
• Safety reporting obligations were not explicitly transferred, causing delayed submission of adverse event reports.
• Subject ID 6123 was dosed incorrectly due to lack of oversight, leading to a protocol deviation that went unnoticed for several weeks. Failure to fully document all assumed obligations could result in oversight failures, protocol deviations, and regulatory findings."
8,"Investigators who were not qualified by training and experience were selected to investigate a drug. 
• Individuals without proper medical or clinical trial experience were assigned investigator roles. 
• Subject ID 1894 received an incorrect dose of IMP due to investigator inexperience, leading to a severe adverse reaction.","Study responsibilities were inappropriately assigned to investigators lacking relevant qualifications, violating 21 CFR 312.53(a). The investigator failed to ensure that trial-related duties were assigned to personnel with appropriate medical training.
Examples: 
• A principal investigator (PI) with no prior experience in oncology trials was assigned to a cancer study, increasing the risk of misinterpretation of safety data. 
• A sub-investigator without GCP training administered the IMP incorrectly, leading to protocol deviations. 
• Subject ID 2746 was not adequately monitored for protocol-defined safety labs, delaying detection of a critical lab abnormality. The lack of proper qualifications could lead to dosing errors, misdiagnosis of adverse events, and compromised data integrity. Such violations could result in regulatory actions and jeopardize study validity."
9,"Failure to monitor investigations (21 CFR 312.56(a)) 
•	Subject ID 1203: Missed monitoring visit resulted in an unreported SAE. 
•	 Subject ID 1345: Investigator deviated from the protocol, altering subject dosing without documented approval.","The sponsor failed to monitor the progress of investigations adequately, leading to protocol deviations and regulatory non-compliance. 
•	Subject ID 1203: A Serious Adverse Event (SAE) of Grade 3 thrombocytopenia went unreported for 10 days due to the absence of a scheduled monitoring visit. This delayed critical safety interventions. 
•	 Subject ID 1345: Investigator administered an unapproved dose adjustment, which was only identified months later due to lack of oversight, risking subject safety and data integrity. 
Failure to monitor can result in compromised data integrity, subject safety risks, and potential regulatory action, including study suspension."
10,"Failure to notify FDA of termination of investigator (21 CFR 312.56(b)) 
•	Subject ID 2016: Continued to receive study treatment after investigator termination. 
•	 Subject ID 2274: Study procedures were performed by the terminated investigator without approval.","The sponsor did not notify the FDA promptly about the termination of a non-compliant investigator, violating regulatory requirements. 
•	Subject ID 2016: Despite the investigator’s termination, the subject continued to receive unapproved study treatment, leading to potential liability issues and ethical concerns. 
•	Subject ID 2274: The subject’s last two visits were conducted by a terminated investigator, raising concerns about the validity of data collected during this period.
 Delayed notification may lead to unauthorized study activities, ethical breaches, regulatory penalties, and loss of credibility with health authorities."
